  col_s_1   |    col_s_c    |   col_d_c    |   col_c_cv   | col_s_r | col_c_r 
------------+---------------+--------------+--------------+---------+---------
 7000000082 |     -12250000 |            0 |     12250000 |       0 |  250000
 7000000048 |   -2507500.00 |            0 |   2507500.00 |       0 |  250000
 7000000051 |      17500000 |     17500000 |            0 |  250000 |       0
 7000000099 |     477500.00 |    477500.00 |            0 |  250000 |       0
 7000000054 |     -17500000 |            0 |     17500000 |       0 |  250000
 7000000085 |  107677500.00 | 107677500.00 |            0 |  250000 |       0
 7000000046 |    7887500.00 |   7887500.00 |            0 |  250000 |       0
 7000000044 |       6750000 |      6750000 |            0 |  250000 |       0
 7000000073 |   11897500.00 |  11897500.00 |            0 |  250000 |       0
 7000000096 |      -4750000 |            0 |      4750000 |       0 |  250000
 7000000030 |      26250000 |     26250000 |            0 |  250000 |       0
 7000000037 |   -2500000000 |            0 |   2500000000 |       0 |  250000
 7000000070 |   46705000.00 |  46705000.00 |            0 |  250000 |       0
 7000000038 |        250000 |       250000 |            0 |  250000 |       0
 7000000050 |      26250000 |     26250000 |            0 |  250000 |       0
 7000000056 |     -40000000 |            0 |     40000000 |       0 |  250000
 7000000053 |   -4110000.00 |            0 |   4110000.00 |       0 |  250000
 7000000060 |    -4875000.0 |            0 |    4875000.0 |       0 |  250000
 7000000066 |    -124750000 |            0 |    124750000 |       0 |  250000
 7000000047 |      50000000 |     50000000 |            0 |  250000 |       0
 7000000026 |   -5547500.00 |            0 |   5547500.00 |       0 |  250000
 7000000087 |    -6375000.0 |            0 |    6375000.0 |       0 |  250000
 7000000041 |    26100000.0 |   26100000.0 |            0 |  250000 |       0
 7000000059 |    -5900000.0 |            0 |    5900000.0 |       0 |  250000
 7000000086 |     -50000000 |            0 |     50000000 |       0 |  250000
 7000000049 |   58872500.00 |  58872500.00 |            0 |  250000 |       0
 7000000068 |  -33962500.00 |            0 |  33962500.00 |       0 |  250000
 7000000036 |      20000000 |     20000000 |            0 |  250000 |       0
 7000000092 |     2975000.0 |    2975000.0 |            0 |  250000 |       0
 7000000028 |      65000000 |     65000000 |            0 |  250000 |       0
 7000000089 |  -38135000.00 |            0 |  38135000.00 |       0 |  250000
 7000000093 |   46705000.00 |  46705000.00 |            0 |  250000 |       0
 7000000067 |       8750000 |      8750000 |            0 |  250000 |       0
 7000000081 |   10412500.00 |  10412500.00 |            0 |  250000 |       0
 7000000031 |      20000000 |     20000000 |            0 |  250000 |       0
 7000000032 |       3750000 |      3750000 |            0 |  250000 |       0
 7000000090 |    -138250000 |            0 |    138250000 |       0 |  250000
 7000000035 |     -75000000 |            0 |     75000000 |       0 |  250000
 7000000029 |      26250000 |     26250000 |            0 |  250000 |       0
 7000000057 |      12000000 |     12000000 |            0 |  250000 |       0
 7000000045 |      78750000 |     78750000 |            0 |  250000 |       0
 7000000033 |      20000000 |     20000000 |            0 |  250000 |       0
 7000000065 |     6575000.0 |    6575000.0 |            0 |  250000 |       0
 7000000091 |     -25000000 |            0 |     25000000 |       0 |  250000
 7000000084 |     -43750000 |            0 |     43750000 |       0 |  250000
 7000000027 |   -3452500.00 |            0 |   3452500.00 |       0 |  250000
 7000000069 |   70295000.00 |  70295000.00 |            0 |  250000 |       0
 7000000061 |   11390000.00 |  11390000.00 |            0 |  250000 |       0
 7000000039 |      30000000 |     30000000 |            0 |  250000 |       0
 7000000077 |      11250000 |     11250000 |            0 |  250000 |       0
 7000000040 |      10000000 |     10000000 |            0 |  250000 |       0
 7000000095 |  -19260000.00 |            0 |  19260000.00 |       0 |  250000
 7000000055 |      18750000 |     18750000 |            0 |  250000 |       0
 7000000079 |     -62500000 |            0 |     62500000 |       0 |  250000
 7000000078 |    -4700000.0 |            0 |    4700000.0 |       0 |  250000
 7000000034 |      12000000 |     12000000 |            0 |  250000 |       0
 7000000063 |      11000000 |     11000000 |            0 |  250000 |       0
 7000000072 |       2750000 |      2750000 |            0 |  250000 |       0
 7000000088 |    2810000.00 |   2810000.00 |            0 |  250000 |       0
 7000000052 |  -87322500.00 |            0 |  87322500.00 |       0 |  250000
 7000000097 |      10500000 |     10500000 |            0 |  250000 |       0
 7000000094 |   -8292500.00 |            0 |   8292500.00 |       0 |  250000
 7000000071 |     3300000.0 |    3300000.0 |            0 |  250000 |       0
 7000000083 | -226607500.00 |            0 | 226607500.00 |       0 |  250000
 7000000058 |      26250000 |     26250000 |            0 |  250000 |       0
 7000000064 |  -87322500.00 |            0 |  87322500.00 |       0 |  250000
 7000000080 |      -2750000 |            0 |      2750000 |       0 |  250000
 7000000042 |   15937500.00 |  15937500.00 |            0 |  250000 |       0
 7000000098 |   -9515000.00 |            0 |   9515000.00 |       0 |  250000
 7000000062 |     -12250000 |            0 |     12250000 |       0 |  250000
(70 rows)

