  col_s_1   |   col_o_i    | col_s_t_d  |   col_s_c    | col_s_r 
------------+--------------+------------+--------------+---------
 7000000038 | 100000000000 | 2022-10-15 |       250000 |  250000
 7000000076 | 100000000000 | 2022-09-07 | 134530000.00 |  250000
 7000000045 | 100000000000 | 2022-10-08 |     78750000 |  250000
 7000000044 | 100000000000 | 2022-10-09 |      6750000 |  250000
 7000000033 | 100000000000 | 2022-10-20 |     20000000 |  250000
 7000000050 | 100000000000 | 2022-10-03 |     26250000 |  250000
 7000000070 | 100000000000 | 2022-09-13 |  46705000.00 |  250000
 7000000042 | 100000000000 | 2022-10-11 |  15937500.00 |  250000
 7000000077 | 100000000000 | 2022-09-06 |     11250000 |  250000
 7000000073 | 100000000000 | 2022-09-10 |  11897500.00 |  250000
 7000000057 | 100000000000 | 2022-09-26 |     12000000 |  250000
 7000000031 | 100000000000 | 2022-10-22 |     20000000 |  250000
 7000000058 | 100000000000 | 2022-09-25 |     26250000 |  250000
 7000000055 | 100000000000 | 2022-09-28 |     18750000 |  250000
 7000000081 | 100000000000 | 2022-09-02 |  10412500.00 |  250000
 7000000071 | 100000000000 | 2022-09-12 |    3300000.0 |  250000
 7000000067 | 100000000000 | 2022-09-16 |      8750000 |  250000
 7000000047 | 100000000000 | 2022-10-06 |     50000000 |  250000
 7000000069 | 100000000000 | 2022-09-14 |  70295000.00 |  250000
 7000000034 | 100000000000 | 2022-10-19 |     12000000 |  250000
 7000000040 | 100000000000 | 2022-10-13 |     10000000 |  250000
 7000000032 | 100000000000 | 2022-10-21 |      3750000 |  250000
 7000000039 | 100000000000 | 2022-10-14 |     30000000 |  250000
 7000000063 | 100000000000 | 2022-09-20 |     11000000 |  250000
 7000000072 | 100000000000 | 2022-09-11 |      2750000 |  250000
 7000000046 | 100000000000 | 2022-10-07 |   7887500.00 |  250000
 7000000065 | 100000000000 | 2022-09-18 |    6575000.0 |  250000
 7000000051 | 100000000000 | 2022-10-02 |     17500000 |  250000
 7000000061 | 100000000000 | 2022-09-22 |  11390000.00 |  250000
 7000000043 | 100000000000 | 2022-10-10 |     20000000 |  250000
 7000000041 | 100000000000 | 2022-10-12 |   26100000.0 |  250000
(31 rows)

